trial,context,early,cue,motion,color,context_freq,motion_freq,color_freq,target_freq,response_freq,correct_response,congruent
0,0,0,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
1,0,0,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
2,0,0,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
3,0,0,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
4,0,0,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
5,0,0,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
6,0,0,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
7,0,0,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
8,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
9,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
10,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
11,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
12,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
13,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
14,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
15,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
16,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
17,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
18,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
19,0,0,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
20,1,0,0,0,1,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.080000000000000016,0.43999999999999995,1.0,False
21,1,0,0,0,1,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.080000000000000016,0.43999999999999995,1.0,False
22,1,0,0,1,0,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.080000000000000016,0.56000000000000005,0.0,False
23,1,0,0,1,0,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.080000000000000016,0.56000000000000005,0.0,False
24,1,0,0,1,0,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.080000000000000016,0.56000000000000005,0.0,False
25,0,0,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
26,0,0,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
27,0,0,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
28,0,0,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
29,0,0,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
30,0,0,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
31,0,0,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
32,0,0,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
33,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
34,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
35,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
36,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
37,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
38,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
39,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
40,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
41,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
42,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
43,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
44,0,0,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
45,1,0,1,0,1,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.080000000000000016,0.43999999999999995,1.0,False
46,1,0,1,0,1,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.080000000000000016,0.43999999999999995,1.0,False
47,1,0,1,1,0,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.080000000000000016,0.56000000000000005,0.0,False
48,1,0,1,1,0,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
49,1,0,1,1,0,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
50,0,1,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
51,0,1,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
52,0,1,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
53,0,1,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
54,0,1,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
55,0,1,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
56,0,1,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
57,0,1,0,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
58,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
59,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
60,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
61,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
62,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
63,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
64,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
65,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
66,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
67,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
68,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
69,0,1,0,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
70,1,1,0,0,1,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.12,0.43999999999999995,1.0,False
71,1,1,0,0,1,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.12,0.43999999999999995,1.0,False
72,1,1,0,1,0,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
73,1,1,0,1,0,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
74,1,1,0,1,0,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
75,0,1,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
76,0,1,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
77,0,1,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
78,0,1,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
79,0,1,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
80,0,1,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
81,0,1,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
82,0,1,1,0,1,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
83,0,1,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
84,0,1,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
85,0,1,1,1,0,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
